Tanggal,Waktu,Katulampa,Pos Depok,Manggarai,Istiqlal,Jembatan Merah,Flusing Ancol,Marina Ancol,Status Banjir,,
4/5/2020,21:00:00,16,98,619,251,171,171,256,1,,
4/5/2020,22:00:00,16,96,618,252,160,176,249,1,,
4/5/2020,23:00:00,17,93,617,251,178,182,245,1,,
5/6/2020,0:00:00,170,93,616,251,214,184,231,1,,
5/6/2020,1:00:00,170,92,616,251,191,187,222,1,,
5/6/2020,2:00:00,170,92,616,250,195,191,214,1,,
5/6/2020,3:00:00,160,93,616,250,198,195,198,1,,
5/6/2020,4:00:00,160,93,616,208,202,183,1910,1,,
5/6/2020,5:00:00,160,93,615,194,190,169,176,1,,
5/6/2020,6:00:00,160,93,614,183,179,163,172,1,,
5/6/2020,7:00:00,160,93,614,176,181,165,172,1,,
5/6/2020,8:00:00,140,92,614,177,184,166,174,1,,
5/6/2020,9:00:00,140,92,613,177,185,177,181,1,,
5/6/2020,10:00:00,130,92,612,186,175,179,183,1,,
5/6/2020,11:00:00,120,93,610,190,178,189,188,1,,
5/6/2020,12:00:00,140,93,610,201,179,196,193,1,,
5/6/2020,13:00:00,120,92,610,234,181,198,196,1,,
5/6/2020,14:00:00,120,93,608,239,198,198,201,1,,
5/6/2020,15:00:00,80,93,610,241,198,190,208,1,,
5/6/2020,16:00:00,150,92,611,240,195,190,208,1,,
5/6/2020,17:00:00,140,92,612,241,200,190,219,1,,
5/6/2020,18:00:00,150,92,612,242,193,187,228,1,,
5/6/2020,19:00:00,150,91,611,241,202,187,244,1,,
5/6/2020,20:00:00,160,91,611,241,192,186,253,1,,
5/6/2020,21:00:00,150,90,621,245,189,198,259,1,,
5/6/2020,22:00:00,180,91,623,252,213,201,251,1,,
5/6/2020,23:00:00,240,90,623,249,203,200,241,1,,
25/07/2020,0:00:00,10,71,578,226,115,170,217,0,,
25/07/2020,1:00:00,30,70,578,226,116,170,214,0,,
25/07/2020,2:00:00,20,71,578,225,116,171,205,0,,
25/07/2020,3:00:00,20,71,576,225,117,171,203,0,,
25/07/2020,4:00:00,30,71,575,225,117,171,198,0,,
25/07/2020,5:00:00,20,71,574,225,118,171,192,0,,
25/07/2020,6:00:00,20,71,574,225,118,173,182,0,,
25/07/2020,7:00:00,40,70,574,225,121,175,176,0,,
25/07/2020,8:00:00,20,70,574,225,115,167,171,0,,
25/07/2020,9:00:00,20,69,574,225,109,162,164,0,,
25/07/2020,10:00:00,20,69,573,226,100,161,163,0,,
25/07/2020,11:00:00,30,71,574,226,109,162,1650,0,,
25/07/2020,12:00:00,20,71,574,227,111,164,169,0,,
25/07/2020,13:00:00,20,70,574,226,112,165,172,0,,
25/07/2020,14:00:00,20,70,574,226,113,166,178,0,,
25/07/2020,15:00:00,30,71,574,226,113,166,183,0,,
25/07/2020,16:00:00,20,69,575,226,114,168,186,0,,
25/07/2020,17:00:00,30,69,575,226,116,169,188,0,,
25/07/2020,18:00:00,30,70,575,225,117,170,193,0,,
25/07/2020,19:00:00,30,70,575,226,117,171,197,0,,
25/07/2020,20:00:00,10,70,575,226,117,172,199,0,,
25/07/2020,21:00:00,10,70,575,226,117,172,200,0,,
25/07/2020,22:00:00,10,67,574,226,118,173,204,0,,
25/07/2020,23:00:00,10,67,574,226,119,173,205,0,,
26/07/2020,0:00:00,10,68,574,225,119,176,204,0,,
26/07/2020,1:00:00,40,69,573,225,119,177,200,0,,
26/07/2020,2:00:00,20,72,5730,225,120,177,193,0,,
26/07/2020,3:00:00,20,73,572,224,120,178,191,0,,
26/07/2020,4:00:00,20,74,572,224,120,178,185,0,,
26/07/2020,5:00:00,30,74,571,224,121,179,183,0,,
26/07/2020,6:00:00,20,74,571,224,121,179,179,0,,
26/07/2020,7:00:00,30,72,571,224,119,176,175,0,,
26/07/2020,8:00:00,20,70,571,224,117,173,171,0,,
26/07/2020,9:00:00,30,67,571,225,111,168,166,0,,
26/07/2020,10:00:00,40,68,571,196,112,170,168,0,,
26/07/2020,11:00:00,30,69,573,212,112,170,171,0,,
26/07/2020,12:00:00,30,68,573,220,113,171,172,0,,
26/07/2020,13:00:00,40,71,573,223,114,172,177,0,,
26/07/2020,14:00:00,30,70,573,224,114,173,182,0,,
26/07/2020,15:00:00,30,70,574,224,115,173,189,0,,
26/07/2020,16:00:00,30,69,575,225,116,174,197,0,,
26/07/2020,17:00:00,30,68,575,225,117,175,196,0,,
26/07/2020,18:00:00,30,69,575,225,118,177,197,0,,
26/07/2020,19:00:00,20,68,575,225,119,177,196,0,,
26/07/2020,20:00:00,10,68,575,225,120,178,201,0,,
26/07/2020,21:00:00,10,68,575,225,120,178,199,0,,
26/07/2020,22:00:00,10,67,574,225,121,178,196,0,,
26/07/2020,23:00:00,10,67,574,225,121,179,195,0,,
12/8/2020,0:00:00,70,107,613,235,127,170,166,0,,
12/8/2020,1:00:00,70,101,612,235,115,156,154,0,,
12/8/2020,2:00:00,80,96,607,235,115,149,147,0,,
12/8/2020,3:00:00,70,93,601,234,115,148,144,0,,
12/8/2020,4:00:00,60,90,596,234,115,145,143,0,,
12/8/2020,5:00:00,60,86,593,233,115,146,152,0,,
12/8/2020,6:00:00,50,84,591,232,115,149,157,0,,
12/8/2020,7:00:00,60,81,594,232,115,149,164,0,,
12/8/2020,8:00:00,60,80,601,232,115,151,170,0,,
12/8/2020,9:00:00,40,79,609,232,115,152,171,0,,
12/8/2020,10:00:00,40,78,610,232,115,154,177,0,,
12/8/2020,11:00:00,30,76,609,233,115,155,173,0,,
12/8/2020,12:00:00,50,75,607,234,115,156,178,0,,
12/8/2020,13:00:00,30,75,603,234,115,158,186,0,,
12/8/2020,14:00:00,30,75,599,234,115,159,189,0,,
12/8/2020,15:00:00,30,75,597,211,115,160,189,0,,
12/8/2020,16:00:00,30,74,594,186,125,169,200,1,,
12/8/2020,17:00:00,40,74,591,173,131,177,201,1,,
12/8/2020,18:00:00,30,75,589,171,134,180,212,1,,
12/8/2020,19:00:00,30,76,588,190,137,183,212,1,,
12/8/2020,20:00:00,20,75,586,212,137,183,202,1,,
12/8/2020,21:00:00,30,75,584,202,141,186,196,0,,
12/8/2020,22:00:00,30,74,583,191,144,190,187,0,,
12/8/2020,23:00:00,30,73,582,187,134,172,170,0,,
13/8/2020,0:00:00,30,73,580,174,121,163,159,0,,
13/8/2020,1:00:00,40,73,578,161,115,159,155,0,,
13/8/2020,2:00:00,30,73,577,156,115,159,155,0,,
13/8/2020,3:00:00,30,72,576,184,115,157,153,0,,
13/8/2020,4:00:00,50,72,575,204,115,155,157,0,,
13/8/2020,5:00:00,30,71,575,220,115,156,162,0,,
13/8/2020,6:00:00,30,71,575,224,115,158,167,0,,
13/8/2020,7:00:00,40,71,575,227,115,159,175,0,,
13/8/2020,8:00:00,40,71,575,228,115,160,180,0,,
13/8/2020,9:00:00,30,70,575,229,115,162,182,0,,
13/8/2020,10:00:00,20,71,574,230,115,163,186,1,,
13/8/2020,11:00:00,20,71,576,233,118,165,188,1,,
13/8/2020,12:00:00,20,71,591,244,145,197,188,1,,
13/8/2020,13:00:00,30,71,582,243,151,198,193,1,,
13/8/2020,14:00:00,40,72,578,241,150,204,200,1,,
13/8/2020,15:00:00,50,72,609,242,162,210,203,1,,
13/8/2020,16:00:00,15,111,719,299,183,211,206,1,,
13/8/2020,17:00:00,52,105,695,313,169,223,208,1,,
13/8/2020,18:00:00,44,219,650,295,174,224,216,1,,
13/8/2020,19:00:00,34,196,643,280,178,224,223,1,,
13/8/2020,20:00:00,29,163,659,262,178,217,219,1,,
13/8/2020,21:00:00,26,149,679,225,176,205,213,1,,
13/8/2020,22:00:00,21,132,692,208,167,194,202,1,,
13/8/2020,23:00:00,20,142,688,191,151,194,190,1,,
21/09/2020,0:00:00,10,65,575,170,160,203,174,1,,
21/09/2020,1:00:00,10,65,575,170,160,198,172,1,,
21/09/2020,2:00:00,10,80,57,160,155,195,181,1,,
21/09/2020,3:00:00,10,85,575,160,155,193,183,1,,
21/09/2020,4:00:00,10,85,575,170,160,193,183,1,,
21/09/2020,5:00:00,10,80,183,180,160,155,183,1,,
21/09/2020,6:00:00,10,75,183,200,160,153,183,1,,
21/09/2020,7:00:00,10,75,183,210,160,160,188,1,,
21/09/2020,8:00:00,10,75,575,220,160,162,195,1,,
21/09/2020,9:00:00,10,75,575,220,160,173,196,1,,
21/09/2020,10:00:00,10,70,575,225,160,180,212,1,,
21/09/2020,11:00:00,10,70,590,225,160,179,215,1,,
21/09/2020,12:00:00,10,70,590,225,160,190,220,1,,
21/09/2020,13:00:00,10,70,590,230,160,209,218,1,,
21/09/2020,14:00:00,10,70,590,230,160,209,210,1,,
21/09/2020,15:00:00,10,70,590,230,,208,216,1,,
21/09/2020,16:00:00,10,70,590,230,165,212,205,1,,
21/09/2020,17:00:00,10,70,590,225,165,216,205,1,,
21/09/2020,18:00:00,40,70,585,225,165,218,202,1,,
21/09/2020,19:00:00,40,70,570,205,170,220,192,1,,
21/09/2020,20:00:00,40,70,570,175,165,226,184,1,,
21/09/2020,21:00:00,10,105,570,170,150,226,174,1,,
21/09/2020,22:00:00,10,290,590,200,170,229,165,1,,
21/09/2020,23:00:00,70,250,560,215,175,222,165,1,,
22/09/2020,0:00:00,36,175,555,215,175,214,159,1,,
22/09/2020,1:00:00,32,175,555,215,170,216,159,1,,
22/09/2020,2:00:00,29,155,560,210,170,205,155,1,,
22/09/2020,3:00:00,28,150,570,205,160,202,155,1,,
22/09/2020,4:00:00,27,140,645,205,160,208,154,1,,
22/09/2020,5:00:00,28,135,720,215,160,206,156,1,,
22/09/2020,6:00:00,27,125,760,240,170,201,164,1,,
22/09/2020,7:00:00,25,120,745,245,190,202,169,1,,
22/09/2020,8:00:00,23,110,745,245,190,205,169,1,,
22/09/2020,9:00:00,22,110,730,260,200,210,178,1,,
22/09/2020,10:00:00,22,110,720,260,200,211,187,1,,
22/09/2020,11:00:00,22,100,720,260,200,219,194,1,,
22/09/2020,12:00:00,21,100,700,270,200,219,204,1,,
22/09/2020,13:00:00,20,100,695,250,210,219,208,1,,
22/09/2020,14:00:00,20,100,680,240,210,223,209,1,,
22/09/2020,15:00:00,19,100,670,230,200,222,209,1,,
22/09/2020,16:00:00,18,100,650,220,195,220,208,1,,
22/09/2020,17:00:00,26,100,645,210,190,225,198,1,,
22/09/2020,18:00:00,25,95,640,200,180,222,196,1,,
22/09/2020,19:00:00,27,160,640,200,180,221,191,1,,
22/09/2020,20:00:00,23,155,645,190,170,224,179,1,,
22/09/2020,21:00:00,19,160,645,185,160,225,170,1,,
22/09/2020,22:00:00,18,155,635,180,150,216,159,1,,
22/09/2020,23:00:00,17,145,630,175,140,174,150,1,,
25/10/2020,0:00:00,44,227,590,142,149,174,151,1,,
25/10/2020,1:00:00,40,199,620,145,148,169,147,1,,
25/10/2020,2:00:00,36,183,685,147,148,169,146,1,,
25/10/2020,3:00:00,34,169,737,156,151,171,146,1,,
25/10/2020,4:00:00,32,159,767,154,157,176,154,1,,
25/10/2020,5:00:00,31,153,790,153,159,190,165,1,,
25/10/2020,6:00:00,31,148,797,158,169,205,168,1,,
25/10/2020,7:00:00,31,142,801,167,179,216,170,1,,
25/10/2020,8:00:00,31,140,794,172,185,225,178,1,,
25/10/2020,9:00:00,29,138,782,176,190,228,203,1,,
25/10/2020,10:00:00,28,136,765,,195,228,192,1,,
25/10/2020,11:00:00,13,134,743,188,196,218,186,1,,
25/10/2020,12:00:00,30,132,738,184,191,219,192,1,,
25/10/2020,13:00:00,26,130,718,191,179,211,186,1,,
25/10/2020,14:00:00,27,128,698,178,169,215,184,1,,
25/10/2020,15:00:00,33,127,688,169,166,216,187,1,,
25/10/2020,16:00:00,35,125,679,154,167,214,182,1,,
25/10/2020,17:00:00,33,125,677,147,168,217,198,1,,
25/10/2020,18:00:00,42,127,676,143,166,210,176,1,,
25/10/2020,19:00:00,37,174,657,143,165,217,174,1,,
25/10/2020,20:00:00,35,165,652,149,166,207,170,1,,
25/10/2020,21:00:00,35,153,644,155,166,204,169,1,,
25/10/2020,22:00:00,33,144,638,156,164,195,171,1,,
25/10/2020,23:00:00,32,147,632,155,158,192,169,1,,
26/10/2020,0:00:00,30,141,630,153,155,186,162,1,,
26/10/2020,1:00:00,29,138,640,151,152,178,156,1,,
26/10/2020,2:00:00,29,135,654,150,150,176,153,1,,
26/10/2020,3:00:00,28,133,665,152,152,177,155,1,,
26/10/2020,4:00:00,27,131,668,154,155,176,158,1,,
26/10/2020,5:00:00,27,128,662,157,161,187,165,1,,
26/10/2020,6:00:00,28,126,660,159,169,197,165,1,,
26/10/2020,7:00:00,26,125,6550,162,177,217,171,1,,
26/10/2020,8:00:00,25,124,649,164,175,218,181,1,,
26/10/2020,9:00:00,24,123,655,239,168,224,187,1,,
26/10/2020,10:00:00,25,122,652,255,168,220,204,1,,
26/10/2020,11:00:00,24,122,648,212,163,220,196,1,,
26/10/2020,12:00:00,24,122,643,179,166,218,188,1,,
26/10/2020,13:00:00,21,121,640,173,164,218,185,1,,
26/10/2020,14:00:00,26,121,637,170,162,208,192,1,,
26/10/2020,15:00:00,29,120,634,167,161,208,193,1,,
26/10/2020,16:00:00,29,121,629,167,161,216,196,1,,
26/10/2020,17:00:00,45,119,629,166,162,206,192,1,,
26/10/2020,18:00:00,38,119,647,168,162,216,194,1,,
26/10/2020,19:00:00,36,118,654,159,161,208,190,1,,
26/10/2020,20:00:00,35,120,671,160,162,215,191,1,,
26/10/2020,21:00:00,33,123,670,170,165,204,183,1,,
26/10/2020,22:00:00,32,138,664,175,166,199,180,0,,
26/10/2020,23:00:00,31,134,655,175,164,192,165,0,,
8/11/2020,0:00:00,26,124,538,221,117,159,151,0,,
8/11/2020,1:00:00,26,120,537,220,115,155,150,0,,
8/11/2020,2:00:00,27,113,542,219,114,159,154,1,,
8/11/2020,3:00:00,26,110,548,218,115,170,160,1,,
8/11/2020,4:00:00,26,106,553,222,127,189,170,1,,
8/11/2020,5:00:00,26,105,553,225,132,199,172,1,,
8/11/2020,6:00:00,27,104,552,232,141,209,172,1,,
8/11/2020,7:00:00,26,103,554,237,150,215,176,1,,
8/11/2020,8:00:00,27,103,557,241,156,221,184,1,,
8/11/2020,9:00:00,26,103,556,247,161,216,215,1,,
8/11/2020,10:00:00,27,103,555,250,164,220,195,1,,
8/11/2020,11:00:00,27,104,553,289,158,195,202,1,,
8/11/2020,12:00:00,35,104,607,318,141,175,171,1,,
8/11/2020,13:00:00,41,103,618,322,134,201,182,1,,
8/11/2020,14:00:00,38,104,615,332,129,194,217,1,,
8/11/2020,15:00:00,51,104,605,336,125,189,221,1,,
8/11/2020,16:00:00,45,104,588,317,129,193,218,1,,
8/11/2020,17:00:00,39,104,574,306,142,208,214,1,,
8/11/2020,18:00:00,36,103,563,302,152,218,192,1,,
8/11/2020,19:00:00,34,104,555,295,154,199,184,1,,
8/11/2020,20:00:00,33,118,548,245,140,189,179,0,,
8/11/2020,21:00:00,31,128,546,229,137,185,177,0,,
8/11/2020,22:00:00,32,123,544,223,131,171,168,0,,
8/11/2020,23:00:00,30,119,541,220,125,168,159,0,,
9/11/2020,0:00:00,30,116,539,217,120,164,155,0,,
9/11/2020,1:00:00,29,113,537,215,117,161,152,0,,
9/11/2020,2:00:00,29,112,536,211,114,157,153,0,,
9/11/2020,3:00:00,29,110,536,202,115,161,155,1,,
9/11/2020,4:00:00,29,109,539,199,118,177,169,1,,
9/11/2020,5:00:00,29,108,547,201,123,187,175,1,,
9/11/2020,6:00:00,29,106,556,211,139,204,178,1,,
9/11/2020,7:00:00,28,106,557,214,144,202,184,1,,
9/11/2020,8:00:00,29,105,557,231,151,216,208,1,,
9/11/2020,9:00:00,28,104,555,233,154,215,204,1,,
9/11/2020,10:00:00,28,105,553,235,155,213,208,1,,
9/11/2020,11:00:00,27,105,550,236,157,220,212,1,,
9/11/2020,12:00:00,28,105,548,169,156,214,209,1,,
9/11/2020,13:00:00,28,104,546,168,158,221,202,1,,
9/11/2020,14:00:00,28,104,545,169,158,215,197,1,,
9/11/2020,15:00:00,27,104,543,168,157,217,201,1,,
9/11/2020,16:00:00,28,104,541,166,156,215,197,1,,
9/11/2020,17:00:00,28,103,540,166,155,210,191,1,,
9/11/2020,18:00:00,28,103,539,165,153,207,203,1,,
9/11/2020,19:00:00,28,102,537,163,145,197,190,0,,
9/11/2020,20:00:00,27,103,536,155,139,187,181,0,,
9/11/2020,21:00:00,27,107,535,158,136,184,177,0,,
9/11/2020,22:00:00,27,116,534,152,126,169,164,0,,
9/11/2020,23:00:00,27,114,533,151,125,165,160,0,,
6/12/2020,0:00:00,49,98,545,149,112,149,155,0,,
6/12/2020,1:00:00,55,97,545,150,114,149,154,0,,
6/12/2020,2:00:00,52,99,545,149,115,152,158,0,,
6/12/2020,3:00:00,52,98,545,163,127,157,159,0,,
6/12/2020,4:00:00,58,104,545,159,128,171,159,0,,
6/12/2020,5:00:00,58,135,545,161,135,173,161,0,,
6/12/2020,6:00:00,53,145,545,160,135,182,162,0,,
6/12/2020,7:00:00,54,141,545,162,142,190,189,0,,
6/12/2020,8:00:00,57,147,540,178,146,194,198,0,,
6/12/2020,9:00:00,60,153,540,224,148,195,207,0,,
6/12/2020,10:00:00,77,149,540,241,141,184,210,0,,
6/12/2020,11:00:00,88,148,555,253,139,184,210,0,,
6/12/2020,12:00:00,78,170,580,263,139,185,212,0,,
6/12/2020,13:00:00,77,173,580,265,140,185,206,0,,
6/12/2020,14:00:00,81,205,615,265,139,187,210,0,,
6/12/2020,15:00:00,79,200,630,267,140,190,201,0,,
6/12/2020,16:00:00,73,190,635,167,155,189,194,0,,
6/12/2020,17:00:00,68,190,630,167,149,183,182,0,,
6/12/2020,18:00:00,66,194,630,164,140,171,172,0,,
6/12/2020,19:00:00,64,189,635,158,137,162,164,0,,
6/12/2020,20:00:00,63,183,645,148,134,157,160,0,,
6/12/2020,21:00:00,61,175,665,149,132,153,156,0,,
6/12/2020,22:00:00,59,170,680,147,131,150,154,0,,
6/12/2020,23:00:00,56,165,690,148,130,150,153,0,,
7/12/2020,0:00:00,55,161,695,149,131,154,156,0,,
7/12/2020,1:00:00,54,158,690,149,132,151,154,0,,
7/12/2020,2:00:00,54,153,690,144,136,156,160,1,,
7/12/2020,3:00:00,57,150,690,156,145,160,162,1,,
7/12/2020,4:00:00,62,152,690,162,154,166,167,1,,
7/12/2020,5:00:00,66,150,715,175,162,173,167,1,,
7/12/2020,6:00:00,65,154,715,177,166,179,165,1,,
7/12/2020,7:00:00,61,160,685,177,170,186,170,1,,
7/12/2020,8:00:00,58,167,670,175,169,190,165,1,,
7/12/2020,9:00:00,56,171,655,173,168,188,169,1,,
7/12/2020,10:00:00,56,167,650,169,168,198,172,1,,
7/12/2020,11:00:00,54,161,640,169,170,195,183,1,,
7/12/2020,12:00:00,52,156,630,170,171,197,200,1,,
7/12/2020,13:00:00,51,154,625,165,169,197,200,1,,
7/12/2020,14:00:00,50,152,625,166,169,196,203,1,,
7/12/2020,15:00:00,50,150,634,171,169,194,197,1,,
7/12/2020,16:00:00,49,147,640,175,169,194,186,1,,
7/12/2020,17:00:00,48,146,651,174,166,191,181,0,,
7/12/2020,18:00:00,47,143,650,172,164,182,176,0,,
7/12/2020,19:00:00,46,140,650,170,159,173,171,0,,
7/12/2020,20:00:00,45,139,645,162,140,169,168,0,,
7/12/2020,21:00:00,44,138,635,161,154,164,162,0,,
7/12/2020,22:00:00,44,138,625,160,149,156,157,0,,
7/12/2020,23:00:00,44,137,620,158,147,154,156,0,,
